antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'Ruta'}),frozenset({'male'}),0.10675675675675676,0.5333333333333333,0.06486486486486487,0.6075949367088608,1.139240506329114,0.00792792792792793,1.189247311827957
frozenset({'Montanera'}),frozenset({'male'}),0.1662162162162162,0.5333333333333333,0.09774774774774775,0.5880758807588076,1.1026422764227641,0.009099099099099103,1.1328947368421052
frozenset({'Discos'}),frozenset({'male'}),0.13243243243243244,0.5333333333333333,0.07162162162162163,0.5408163265306123,1.014030612244898,0.0009909909909909947,1.0162962962962965
frozenset({'Discos'}),frozenset({'female'}),0.13243243243243244,0.41396396396396395,0.05810810810810811,0.4387755102040816,1.05993648819702,0.003285853420988555,1.044209664209664
frozenset({'male'}),frozenset({'Montanera'}),0.5333333333333333,0.1662162162162162,0.09774774774774775,0.18327702702702703,1.1026422764227644,0.009099099099099103,1.020889348500517
frozenset({'female'}),frozenset({'Discos'}),0.41396396396396395,0.13243243243243244,0.05810810810810811,0.14036996735582155,1.05993648819702,0.003285853420988555,1.0092336640437907
frozenset({'male'}),frozenset({'Discos'}),0.5333333333333333,0.13243243243243244,0.07162162162162163,0.13429054054054054,1.0140306122448979,0.0009909909909909947,1.0021463414634146
frozenset({'male'}),frozenset({'Ruta'}),0.5333333333333333,0.10675675675675676,0.06486486486486487,0.12162162162162163,1.139240506329114,0.00792792792792793,1.0169230769230768
